X,Y,objectid,health_facility_name,address,street,landmark,locality,posatalcode,landline_number,facility_type,state_name,district_name,taluka_name,block_name,lat,lon,altitude,,,,
80.2707184,13.0826802,46494,KANAMAPET UHP,"1,Hospital Road",Hospital Road,Near Vasanth & Co Office Back Side,T.Nagar,600017,24314785,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XIII,13.0826802,80.2707184,9.26,,,,
80.294607,13.102351,46496,HARBOUR UHP,1,"4th Lane Beach Road,",Opposite to Clive Battery Bridge,4th Lane BEach Road,600001,25251491,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.102351,80.294607,4.15,,,,
80.285857,13.097991,46497,AMMAN KOIL SOUTH UHP,8,Appu Maistry Street,,Broadway,600001,25232385,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.097991,80.285857,7.66,,,,
80.287174,13.130816,46498,JEEVA NAGAR NORTH   UHP,1,Cellliamman Koil Street,Tondiyarpet Bus Terminus,Tondiyarpet,600081,25960006,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.130816,80.287174,8.14,,,,
80.264922,13.091437,46501,CHOOLAI UHP,23,Vijaya Vigneswara Koil Street,Near Choolai Bus Stand,Choolai,600112,26690817,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.091437,80.264922,8,,,,
80.274767,13.104091,46502,KONDITHOPE UHP,60,"Basin Bridge Road,Kondithope",Near New Mint Bus Stand,Kondithope,600021,25203004,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.104091,80.274767,5.4,,,,
80.301125,13.157574,46503,THIRUVOTTIYUR  UHP,185,Thiruvotriyur High Road,Thiruvottiyur GH,Thiruvottiyur,600019,25990185,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE I,13.157574,80.301125,9.36,,,,
80.256948,13.035226,46505,BEEMANNANPET UHP,31,"C.P ramaswami Road ,Alwarpet ,ch-18",Community Hall,Abiramapuram,600018,24994249,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.035226,80.256948,12.08,,,,
80.283589,13.111763,46506,GOVERNMENT RSRM HOSPITAL UHP,32,"East Cementry Road,CH-21",Near Virax Textile,East Cementry Road,600021,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.111763,80.283589,9.23,,,,
80.281745,13.112895,46508,Dr.V.R.NAGAR UHP,471,Thiruvottiyur High ROad,Pandian Theatre,Old Washermanpet,600081,25951208,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.112895,80.281745,8.94,,,,
80.274019,13.051793,46510,MIRSH AIBPET UHP,6,"Muthiya Main street,",LLoyds colony,DR.Nadesan Road,600014,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.051793,80.274019,9,,,,
80.295556,13.136864,46512,GRACE GARDEN UHP,152,"Venkatasan street, ch-13",near fire service,Royapuram,600013,25958144,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.136864,80.295556,9.49,,,,
80.281027,13.098317,46513,SEVEN WELLS  HP,69,"Amman Koil Street,Chennai-1",Near seven wells police station,Seven wells,600001,25232949,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.098317,80.281027,11.84,,,,
80.2579061,13.1686784,46515,Manali,Primary Health Centre,Pallikudam street,Near by Church and panchayat office,Manali,600068,,Primary Health Centre,Tamil Nadu,Thiruvallur,Mathavaram,Madhavaram,13.1686784,80.2579061,8.769,,,,
80.261699,13.001233,46517,ADYAR UHP,1st avenue Besant Nagar,1st Avenue,Near Bus stop Besant nagar Terminus,Besant Nagar,600090,24452247,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XIII,13.001233,80.261699,11.66,,,,
80.272426,13.08268,46519,Dr.R.K.NAGAR SOUTH UHP,48,old Glass factory road,Near Railway over Bridge Korrukupet,Korrukupet,600021,25920032,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.08268,80.272426,9.26,,,,
80.302136,13.151732,46520,THANGAL UHP,76,Malligapuram,"Corporation High School, Market Lane,Kaladipet",Kaladipet,600019,25990437,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE I,13.151732,80.302136,7.31,,,,
80.266142,13.117568,46521,SANJEEVARAYANPET UHP,194,Solaiappar Street,Near old washermanpet post office,Royapuram,600021,25951219,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.117568,80.266142,6.11,,,,
80.267647,13.100391,46522,PULIANTHOPE UHP,40,Thiruvenganda sami Street,Near G3 Police Station,Pulianthope,600012,26670100,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.100391,80.267647,4.8,,,,
80.242648,13.07727,47372,GOVT KILPAUK MEDICAL COLL HOSPITAL MCH,822,Poonamallee High Road,Near Ega Theatre,,600010,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.07727,80.242648,12.42,,,,
80.219,13.095,47373,GOVT PERIPHERAL HOSPITAL  ANNA NAGAR,"Govt.Peripheral Hospital, Anna Nagar",3rd Avenue,Kilpauk,Kilpauk,600102,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.095,80.219,11,,,,
80.20916,13.035,47374,GOVT PERIPHERAL HL KK NAGAR MCH ATT,"Govt.Peripheral Hospital, K K Nagar",Anna Main Road,Bharathidasan Colony,"ESI Hospital, KK Nagar",600078,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.035,80.20916,14,,,,
80.2194984,13.0223602,47407,SAIDAPET,SAIDAPET SDH,,,SAIDAPET,600015,,Sub-District Hospital,Tamil Nadu,Kancheepuram,\N,\N,13.0223602,80.2194984,13.11,,,,
80.214202,13.066511,47408,M.M.D.A.COLONY UHP,21/63,"D Block, Pandian Street",MMDA Post Office,Arumbakkam,600106,23630831,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.066511,80.214202,13.08,,,,
80.251895,13.053494,47415,THOUSAND LIGHT  UHP,82,Azismulk 2nd street,Near Blue star,Thousand light,600006,28293442,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.053494,80.251895,13.72,,,,
80.19416,13.066938,47417,VIRUGAMBAKKAM   II  UHP,44,"Natesa Nagar,5th Main Road",Koyambedu Market,Virugambakkam,600092,24794474,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.066938,80.19416,12.92,,,,
80.230404,13.0697,47420,AMINJIKARAI WEST UHP,1,Pillyar Koil Street,Naduvankarai Canal,Anna Nagar,600040,26222205,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.0697,80.230404,11,,,,
80.2336924,13.0405026,47421,T NAGAR  UHP,1,Siva Gnanam Street,Post Office Pondy Bazzar,T.Nagar,600017,24320535,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.0405026,80.2336924,12.69,,,,
80.253581,13.13931,47424,KODUNGAIYUR I UHP,15,anna salai,moolakadai,Kodungaiyur,600118,25370086,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.13931,80.253581,5.49,,,,
80.252016,13.041456,47426,TEYNAMPET UHP,40,KB Dhasan Salai,Near SIET College,Teynampet,600018,24364298,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.041456,80.252016,12.06,,,,
80.251308,12.989865,47427,SRKV UHP,143,LB Road,Opposite to S2,thiruvanmiyur,600041,24452479,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XIII,12.989865,80.251308,4.66,,,,
80.23049,13.099436,47428,AYANAVARAM UHP,29,Solai Street,Chennai Primary School,Ayanvaram,600023,26749758,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.099436,80.23049,10.49,,,,
80.23192,13.109576,47429,AGARAM SOUTH  HP,9,Somaiah Raja Street,Coroporation Boys school,Agaram,600082,26700572,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.109576,80.23192,12.2,,,,
80.223766,12.804408,47434,Padur,,,,,603103,044-27292567,Primary Health Centre,Tamil Nadu,Kancheepuram,Uthiramerur,Uthiramerur,12.804408,80.223766,8.08,,,,
80.192188,13.137093,47435,N.N.NAGAR UHP,1,Erikarai Street,Park Corporation School,Nesapakkam,600078,23712681,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.137093,80.192188,10.47,,,,
80.202305,13.057181,47436,CPWD  UHP,44115,Dasatharapuram Stret,Vadapalani Bus Stand,Dhasrathapuram,600093,23766343,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.057181,80.202305,12.18,,,,
80.192147,12.982774,47438,PALAVANTHANGAL  UHP,2,New colony 2nd Cross Street,Near B.M Hospital,Palavanthangal,600114,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XII,12.982774,80.192147,12.54,,,,
80.230131,13.060031,47439,PERIYAR NAGAR UHP,17/47,"Sheferfudeen Street ,Choolaimedu,Chennai-94",Near Choolaimedu Post office,Chollaimedu,600094,24802908,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.060031,80.230131,12.94,,,,
80.229931,12.986281,47440,VELACHERY  UHP,2,"Sevana Nagar Gandhi Road,Velachery",Corporation Park,Velachery,600042,22434186,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XIII,12.986281,80.229931,12.14,,,,
80.250435,13.116505,47441,PERAMBUR(EAST)  HP,100,Kamaraj Nagar 2nd Street,Near Eswari Kalyana Mandapam,Vysarpadi,600039,25588580,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.116505,80.250435,9,,,,
80.241842,13.023523,47443,KOTTURPURAM  UHP,44188,Dhandayudhapani 2nd Street Kotturpuram,Kotturpuram Bridge Pillyar Koil Temple,Kotturpuram,600085,24475641,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.023523,80.241842,7.77,,,,
80.242882,13.072459,47444,CHETPET UHP,1,Jagannathapuram 2nd Street,Corporation Middile School,Chetpet,600031,28362475,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.072459,80.242882,10.85,,,,
80.2401,12.9476,47448,OKKIYAMTHURAIPAKKAM,PHC Okkianturaipakkam,,,,600096,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.9476,80.2401,6.3875,,,,
80.222121,13.055125,47452,VADAPALANI UHP,1,Corporation colony,Vadapalani Eoc back side,Kodambakkam,600024,24830550,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.055125,80.222121,14.1,,,,
80.200147,13.100923,47453,VILLIWAKKAM  II UHP,36,Rajamangalam 1st Main Road.,Nathamuni theatre,Villivakkam,600049,26181020,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.100923,80.200147,12.16,,,,
80.235885,13.050474,47454,S.M.NAGAR UHP,,"Ramakamathupuram,R.K.Nagar Main Road","Community hall T.Nagar,",Ramakamathupuram,600017,044-28344313,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.050474,80.235885,11.14,,,,
80.212282,13.037377,47455,FPAI  ASHOK NAGAR  UHP,138 B,"Kannigapuram 1st Street,",Sivan Park,K.K.Nagar,600078,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.037377,80.212282,13.43,,,,
80.214888,13.028199,47457,SAIDAPET UHP,51,Jones Road,Panagal Maligai,Saidapet,600015,24810279,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.028199,80.214888,12.58,,,,
80.204801,13.029936,47460,SAIDAPET WEST UHP,1,"2nd Link Street,Raghava redy colony",Saidapet Manthoopu School Near Thiruvalluvar Street,Jafferkhanpet,600083,23712618,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.029936,80.204801,13.48,,,,
